# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=60mm, diameter=98mm, material=Basotect (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
1122	0.98220	0.00763
1124	0.98239	0.00757
1126	0.98258	0.00751
1128	0.98279	0.00745
1130	0.98294	0.00740
1132	0.98318	0.00734
1134	0.98334	0.00730
1136	0.98353	0.00725
1138	0.98370	0.00721
1140	0.98392	0.00715
1142	0.98406	0.00713
1144	0.98429	0.00707
1146	0.98443	0.00705
1148	0.98464	0.00700
1150	0.98478	0.00698
1152	0.98495	0.00695
1154	0.98513	0.00692
1156	0.98534	0.00689
1158	0.98551	0.00687
1160	0.98568	0.00684
1162	0.98581	0.00684
1164	0.98598	0.00683
1166	0.98611	0.00682
1168	0.98626	0.00681
1170	0.98637	0.00683
1172	0.98654	0.00682
1174	0.98659	0.00686
1176	0.98675	0.00686
1178	0.98678	0.00691
1180	0.98691	0.00692
1182	0.98697	0.00698
1184	0.98706	0.00701
1186	0.98711	0.00708
1188	0.98721	0.00710
1190	0.98726	0.00719
1192	0.98745	0.00720
1194	0.98760	0.00723
1196	0.98775	0.00726
1198	0.98790	0.00729
1200	0.98810	0.00729
1202	0.98830	0.00728
1204	0.98844	0.00731
1206	0.98863	0.00731
1208	0.98874	0.00735
1210	0.98893	0.00734
1212	0.98900	0.00739
1214	0.98919	0.00739
1216	0.98929	0.00742
1218	0.98945	0.00742
1220	0.98965	0.00741
1222	0.98978	0.00742
1224	0.98994	0.00741
1226	0.99008	0.00740
1228	0.99024	0.00740
1230	0.99036	0.00739
1232	0.99054	0.00736
1234	0.99073	0.00732
1236	0.99089	0.00728
1238	0.99113	0.00720
1240	0.99114	0.00724
1242	0.99130	0.00719
1244	0.99146	0.00715
1246	0.99153	0.00714
1248	0.99178	0.00703
1250	0.99193	0.00697
1252	0.99217	0.00686
1254	0.99225	0.00683
1256	0.99239	0.00677
1258	0.99245	0.00675
1260	0.99275	0.00659
1262	0.99285	0.00653
1264	0.99350	0.00615
1266	0.99373	0.00601
1268	0.99385	0.00593
1270	0.99333	0.00620
1272	0.99212	0.00696
1274	0.99109	0.00761
1276	0.99117	0.00753
1278	0.99184	0.00716
1280	0.99202	0.00715
1282	0.99218	0.00704
1284	0.99278	0.00668
1286	0.99313	0.00644
1288	0.99349	0.00619
1290	0.99374	0.00603
1292	0.99393	0.00591
1294	0.99408	0.00580
1296	0.99420	0.00571
1298	0.99432	0.00561
1300	0.99453	0.00547
1302	0.99457	0.00544
1304	0.99469	0.00534
1306	0.99477	0.00528
1308	0.99485	0.00521
1310	0.99496	0.00512
1312	0.99501	0.00507
1314	0.99510	0.00500
1316	0.99518	0.00493
1318	0.99520	0.00490
1320	0.99526	0.00486
1322	0.99532	0.00478
1324	0.99535	0.00474
1326	0.99541	0.00467
1328	0.99547	0.00461
1330	0.99554	0.00453
1332	0.99560	0.00445
1334	0.99564	0.00440
1336	0.99570	0.00432
1338	0.99575	0.00426
1340	0.99578	0.00420
1342	0.99581	0.00415
1344	0.99587	0.00408
1346	0.99590	0.00401
1348	0.99595	0.00394
1350	0.99596	0.00390
1352	0.99599	0.00384
1354	0.99602	0.00379
1356	0.99602	0.00375
1358	0.99605	0.00367
1360	0.99610	0.00360
1362	0.99611	0.00354
1364	0.99613	0.00350
1366	0.99613	0.00345
1368	0.99614	0.00340
1370	0.99616	0.00334
1372	0.99618	0.00328
1374	0.99617	0.00323
1376	0.99617	0.00319
1378	0.99616	0.00314
1380	0.99619	0.00307
1382	0.99617	0.00303
1384	0.99620	0.00296
1386	0.99620	0.00291
1388	0.99618	0.00286
1390	0.99616	0.00282
1392	0.99618	0.00277
1394	0.99616	0.00273
1396	0.99613	0.00268
1398	0.99612	0.00264
1400	0.99611	0.00260
1402	0.99609	0.00255
1404	0.99606	0.00251
1406	0.99607	0.00246
1408	0.99607	0.00242
1410	0.99603	0.00238
1412	0.99598	0.00235
1414	0.99594	0.00230
1416	0.99590	0.00226
1418	0.99590	0.00222
1420	0.99585	0.00218
1422	0.99580	0.00215
1424	0.99578	0.00210
1426	0.99575	0.00205
1428	0.99569	0.00202
1430	0.99566	0.00197
1432	0.99560	0.00194
1434	0.99559	0.00191
1436	0.99553	0.00188
1438	0.99549	0.00183
1440	0.99546	0.00179
1442	0.99541	0.00176
1444	0.99538	0.00172
1446	0.99527	0.00170
1448	0.99529	0.00164
1450	0.99524	0.00161
1452	0.99521	0.00156
1454	0.99514	0.00154
1456	0.99506	0.00153
1458	0.99510	0.00147
1460	0.99505	0.00145
1462	0.99499	0.00143
1464	0.99494	0.00142
1466	0.99491	0.00139
1468	0.99481	0.00140
1470	0.99475	0.00140
1472	0.99467	0.00140
1474	0.99466	0.00137
1476	0.99454	0.00137
1478	0.99447	0.00135
1480	0.99442	0.00131
1482	0.99430	0.00132
1484	0.99425	0.00129
1486	0.99417	0.00127
1488	0.99409	0.00125
1490	0.99400	0.00124
1492	0.99392	0.00121
1494	0.99386	0.00120
1496	0.99377	0.00118
1498	0.99368	0.00118
1500	0.99357	0.00117
1502	0.99352	0.00114
1504	0.99343	0.00113
1506	0.99335	0.00113
1508	0.99330	0.00112
1510	0.99322	0.00112
1512	0.99316	0.00111
1514	0.99309	0.00111
1516	0.99296	0.00111
1518	0.99288	0.00110
1520	0.99283	0.00109
1522	0.99276	0.00107
1524	0.99265	0.00108
1526	0.99258	0.00108
1528	0.99247	0.00110
1530	0.99241	0.00109
1532	0.99229	0.00110
1534	0.99220	0.00109
1536	0.99212	0.00110
1538	0.99202	0.00110
1540	0.99190	0.00111
1542	0.99181	0.00113
1544	0.99171	0.00112
1546	0.99155	0.00114
1548	0.99142	0.00114
1550	0.99127	0.00117
1552	0.99114	0.00118
1554	0.99099	0.00121
1556	0.99083	0.00124
1558	0.99065	0.00128
1560	0.99048	0.00132
1562	0.99031	0.00135
1564	0.99013	0.00139
1566	0.98998	0.00143
1568	0.98983	0.00148
1570	0.98970	0.00153
1572	0.98954	0.00157
1574	0.98944	0.00162
1576	0.98935	0.00167
1578	0.98930	0.00171
1580	0.98924	0.00173
1582	0.98920	0.00176
1584	0.98915	0.00181
1586	0.98915	0.00180
1588	0.98914	0.00181
1590	0.98907	0.00182
1592	0.98904	0.00183
1594	0.98903	0.00181
1596	0.98895	0.00182
1598	0.98890	0.00183
1600	0.98883	0.00183
